L23_V001,002505
L23_V001,003000
L23_V001,003500
L23_V012,003648
L23_V012,004475
L23_V012,005272
L12_V018,031213
L22_V016,034675
L12_V005,034739,
L12_V005,034726,
L12_V005,034865,
L12_V020,024383,
L12_V005,034532,
L12_V005,034541,
L12_V005,034727,
L12_V005,034854,
L12_V005,034531,
L13_V007,029029,
L13_V016,024292,
L13_V014,025217,
L13_V016,024280,
L13_V008,000687,
L13_V016,024316,
L13_V003,026241,
L14_V028,026900,
L14_V028,026830,
L14_V016,029344,
L14_V006,030711,
L14_V001,022616,
L14_V005,032071,
L14_V028,026925,
L14_V004,001389,
L14_V021,027765,
L14_V004,031546,
L14_V019,033041,
L13_V028,026925,
L13_V028,026925,
L23_V013,009055,
L23_V013,009055,
L23_V021,007452,
L23_V021,007452,
L23_V016,005980,
L23_V016,005980,
L23_V007,003081,
L23_V007,003081,
L23_V002,010862,
L23_V002,010862,
L23_V002,006194,
L23_V002,006194,
L23_V011,009156,
L23_V012,003648,
L23_V004,003430,
L23_V024,009938,
L23_V012,002738,
L23_V024,009987,
L23_V010,007565,
L23_V024,009962,
L23_V004,000006,
L23_V016,007658,
L23_V011,001721,
L23_V016,000035,
L23_V025,019540,
L23_V002,010815,
L23_V011,004331,
L23_V010,007540,
L23_V002,005703,
L23_V001,001625,
L23_V019,000054,
L23_V004,000856,
L23_V016,007540,
L23_V009,007798,
L23_V001,001844,
L23_V002,000159,
L23_V013,002988,
L23_V025,019878,
L23_V013,007937,
L23_V001,001560,
L23_V002,001273,
L23_V001,001559,
L23_V002,000158,
L23_V006,008901,
L23_V007,003030,
L23_V025,018633,
L23_V011,001733,
L23_V002,002707,
L23_V009,000782,
L23_V021,011618,
L23_V022,005453,
L23_V002,001356,
L23_V002,001314,
L23_V010,007591,
L23_V013,004528,
L23_V012,003887,
L23_V016,007655,
L23_V022,006166,
L23_V001,001465,
L23_V016,006353,
L23_V001,001372,
L23_V012,003888,
L23_V016,007433,
L23_V017,002319,
L23_V003,004982,
L23_V006,006320,
L23_V016,005862,
L23_V018,009809,
L23_V016,000794,
L23_V002,009409,
L23_V001,001824,
L23_V011,004330,
L23_V019,000000,
L23_V019,000000,
L19_V010,032913,
L19_V010,033187,
L14_V021,027631,
L14_V021,027643,
L13_V005,025674,
L12_V011,026083,
L13_V017,000876,
L13_V014,025145,
L14_V019,001610,
L13_V019,023719,
L12_V011,026098,
L16_V020,000900,
L13_V017,022266,
L13_V017,000859,
L18_V002,000766,
L05_V015,000508,
L14_V020,027500,
L14_V005,001517,
L16_V020,000916,
L14_V025,025900,
L14_V021,027655,
L14_V026,026197,
L16_V020,000932,
L05_V015,000498,
L13_V029,001655,
L14_V012,002007,
L12_V011,026113,
L13_V005,025629,
L14_V012,002008,
L13_V005,025784,
L14_V006,031639,
L14_V026,026213,
L14_V001,023256,
L14_V001,025658,
L14_V013,025772,
L06_V008,000718,
L13_V015,022541,
L06_V008,000708,
L23_V003,000059,
L13_V019,024263,
L13_V012,024391,
L13_V004,000976,
L14_V009,029198,
L14_V025,001255,
L14_V013,025593,
L14_V025,025911,
L14_V021,027644,
L11_V030,027136,
L13_V023,020584,
L14_V003,029829,
L12_V011,026082,
L13_V022,020884,
L14_V013,025613,
L13_V026,001598,
L12_V021,030093,
L13_V029,001649,
L13_V023,020583,
L14_V004,001451,
L14_V023,026470,
L13_V014,000906,
L13_V015,000827,
L08_V001,003835,
L12_V018,000888,
L14_V019,001628,
L13_V015,023749,
L14_V013,025575,
L14_V025,001474,
L12_V028,029326,
L14_V028,025957,
L14_V020,027484,
L13_V020,000945,
L17_V023,004139,
L18_V002,000744,
L14_V013,025556,
L12_V021,030112,
L14_V019,031933,
L12_V021,030094,
L12_V026,021717,
L04_V024,003057,
L14_V014,027087,
L13_V003,000766,
L13_V009,024835,
L14_V014,026328,
L13_V008,025126,
L13_V004,000937,
L14_V009,000400,
L14_V025,001268,
L14_V026,026313,
L13_V018,000837,
L14_V012,001851,
L15_V022,032875,
L13_V019,023798,
L14_V028,027750,
L14_V020,001701,
L13_V021,025850,
L14_V028,025449,
L14_V012,001872,
L12_V026,022296,
L14_V003,029780,
L13_V017,023423,
L13_V015,023590,
L14_V021,027631,
L13_V005,025674,
L14_V021,027643,
L14_V006,031639,
L13_V014,025145,
L13_V005,025629,
L14_V019,001610,
L14_V001,023256,
L14_V012,002008,
L14_V025,025911,
L14_V025,025900,
L14_V020,027500,
L13_V017,022266,
L13_V029,001649,
L13_V008,025126,
L14_V003,029780,
L13_V026,001598,
L14_V026,026197,
L14_V021,027655,
L13_V004,000976,
L13_V015,023590,
L14_V028,026686,
L14_V013,025593,
L14_V011,029528,
L14_V014,027087,
L14_V004,001451,
L14_V028,026758,
L14_V025,001255,
L14_V025,025881,
L13_V004,000937,
L13_V028,026990,
L13_V023,020584,
L14_V019,001628,
L14_V014,026334,
L14_V023,026470,
L14_V026,026213,
L13_V005,025599,
L14_V012,002007,
L14_V028,026614,
L14_V025,001268,
L14_V009,029198,
L13_V019,023719,
L14_V014,026328,
L14_V003,029829,
L14_V013,025556,
L13_V017,000876,
L13_V023,020583,
L13_V015,000827,
L13_V019,024263,
L14_V025,001281,
L14_V006,030557,
L14_V013,025575,
L14_V014,027086,
L14_V012,001851,
L13_V004,027682,
L23_V005,004534,
L14_V005,001517,
L14_V012,001872,
L13_V011,025337,
L23_V025,020202,
L13_V029,025206,
L13_V017,000859,
L14_V027,001477,
L13_V026,001597,
L12_V018,000888,
L13_V019,023798,
L14_V025,025873,
L23_V008,006094,
L13_V004,000950,
L13_V011,025394,
L14_V004,001435,
L14_V012,001893,
L23_V006,001334,
L14_V014,027042,
L14_V004,031064,
L13_V005,025784,
L14_V013,025613,
L13_V023,020546,
L23_V009,001284,
L12_V026,021717,
L13_V029,001655,
L13_V023,021621,
L14_V011,028203,
L14_V015,028953,
L13_V020,000945,
L23_V002,000416,
L12_V005,034079,
L14_V012,001922,
L13_V023,022499,
