L02_V006,015107
L06_V024,017840
L01_V022,020958
L01_V022,020947
L01_V022,020875
L01_V022,020543
L02_V006,009117
L02_V006,015860
L02_V006,015841
L02_V006,009081
L02_V006,015132
L02_V006,015107
L02_V006,015966
L02_V006,015082
L02_V006,009108,
L02_V006,015157,
L02_V006,009126,
L10_V021,014335,
L10_V021,017973,
L10_V024,018563,
L04_V018,017014,
L04_V015,018666,
L04_V015,018630,
L04_V015,018631,
L11_V007,025568,
L11_V001,024575,
L11_V007,025408,
L07_V024,020680,
L07_V024,020702,
L06_V018,016921,
L06_V014,008012,
L06_V024,018192,
L06_V017,014715,
L06_V024,018361,
L06_V024,018269,
L06_V017,014765,
L06_V024,017860,
L06_V024,017747,
L06_V024,018337,
L06_V014,008021,
L06_V024,017840,
L06_V024,017829,
L06_V024,018283,
L06_V024,018310,
L06_V024,017681,
L06_V024,017680,
L06_V017,014740,
L06_V024,017757,
L06_V024,017482,
L06_V014,008003,
L06_V024,018325,
L06_V017,014691,
L06_V024,018349,
L06_V024,017497,
L06_V024,017818,
L06_V024,018231,
L05_V015,027218,
L05_V015,027217,
L05_V031,027012,
L05_V017,024039,
L05_V017,024124,
L05_V013,027759,
L09_V005,024842,
L09_V005,024822,
L09_V005,026292,
L09_V005,026098,
L09_V011,021207,
L09_V010,009208,
L09_V005,026113,
L03_V025,022946,
L03_V019,022772,
L03_V025,022928,
L03_V025,022892,
L03_V025,023243,
L03_V025,022910,
L03_V025,023185,
L03_V019,022697,
L03_V019,021812,
L03_V026,016149,
L03_V025,023921,
L03_V019,022121,
L03_V026,016173,
L03_V019,022070,
L03_V025,023696,
L03_V025,023922,
L03_V019,022480,
L03_V019,021813,
L03_V025,022965,
L03_V019,021855,
L03_V025,023287,
L03_V025,023594,
L03_V019,022087,
L12_V022,013373,
L12_V022,021597,
L12_V022,020776,
L22_V005,017375,
L22_V005,017019,
L22_V005,016980,
L22_V005,017975,
L08_V009,014629,
L22_V005,017275,
L01_V021,025950,
L21_V030,027738,
L16_V011,013782,
L17_V019,023464,
L13_V012,020961,
L21_V030,027737,
L13_V012,020989,
L21_V027,026177,
L13_V012,021002,
L21_V030,027717,
L02_V011,012582,
L13_V012,020962,
L16_V011,013815,
L21_V028,008126,
L16_V011,013877,
L13_V026,003658,
L13_V012,020975,
L13_V012,018545,
L16_V011,013971,
L18_V014,009287,
L13_V012,018557,
L18_V014,009235,
L10_V001,015261,
L17_V019,023448,
L04_V029,021609,
L13_V012,018533,
L18_V026,020039,
L10_V019,015292,
L01_V026,007701,
L04_V029,021626,
L16_V011,001688,
L02_V012,013403,
L15_V020,004002,
L19_V011,016855,
L01_V026,007724,
L04_V029,021658,
L01_V014,017232,
L10_V024,019176,
L21_V030,027697,
L20_V013,021247,
L18_V026,020245,
L10_V019,014813,
L13_V011,019184,
L07_V029,023196,
L04_V009,027451,
L18_V014,009265,
L13_V013,021629,
L05_V023,012663,
L02_V011,012600,
L01_V014,017312,
L18_V026,020246,
L11_V006,021319,
L09_V004,017342,
L18_V008,002038,
L21_V006,011124,
L07_V020,026202,
L04_V009,027452,
L09_V004,017359,
L06_V021,005709,
L07_V029,023205,
L15_V020,004028,
L18_V014,009276,
L20_V013,021241,
L09_V005,023264,
L18_V008,002023,
L21_V028,008444,
L19_V023,025931,
L19_V015,021976,
L05_V023,012688,
L19_V023,026312,
L18_V012,010219,
L21_V003,022505,
L01_V031,028519,
L11_V010,017491,
L16_V011,013784,
L12_V001,016065,
L03_V004,020634,
L03_V004,000748,
L19_V015,022573,
L13_V006,021245,
L21_V028,008285,
L19_V015,021909,
L14_V024,008655,
L19_V011,016895,
L13_V029,022335,
L09_V004,017341,
L13_V012,018521,
L19_V011,016812,
L04_V009,027531,
L19_V028,009749,
L18_V026,020073,
L01_V014,017258,
L07_V029,023197,
L09_V004,017395,
L10_V024,018552,
L12_V001,016832,
L04_V009,027403,
L04_V006,000791,
L13_V006,021213,
L05_V023,012811,
